struct_id,name,smiles,inchikey,approved,approval_agencies,first_approval,chembl_max_phase4,n_targets,targets,moa_targets,flags,source,source_url,withdrawn,chembl_id,molecule_type,chembl_max_phase,approval_basis,target_evidence,notes
900134,monensin,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1,GAOZTHIDHYLHMS-KEOBGNEYSA-N,1,,,1,0,,,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL256105.json,0,CHEMBL256105,Small molecule,4.0,chembl_max_phase_4,,
900135,monensin sodium,CC[C@@]1([C@H]2O[C@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@H]2C)CC[C@H]([C@@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@H](C)[C@H](OC)[C@@H](C)C(=O)O)O3)O2)O1,GAOZTHIDHYLHMS-GDMSFIFLSA-N,1,,,1,0,,,multi_fragment;metal_stripped,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL5314365.json,0,CHEMBL5314365,Small molecule,4.0,chembl_max_phase_4,,
900136,monomethyl fumarate,COC(=O)/C=C/C(=O)O,NKHAVTQWNUWKEO-NSCUHMNNSA-N,1,,2020,1,1,KEAP1,KEAP1,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL589586.json,0,CHEMBL589586,Small molecule,4.0,chembl_max_phase_4,chembl_mechanism,
900137,nafarelin acetate,CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,PPXLVGBVOZLEIW-ITQXDASVSA-N,1,,1990,1,1,GNRHR,GNRHR,multi_fragment;dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1200671.json,0,CHEMBL1200671,Protein,4.0,chembl_max_phase_4,chembl_mechanism,same parent structure as: NAFARELIN (CHEMBL1201309)
900138,nirmatrelvir,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,LIENCHBZNNMNKG-OJFNHCPVSA-N,1,,2023,1,0,,,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4802135.json,0,CHEMBL4802135,Small molecule,4.0,chembl_max_phase_4,,
900139,nirogacestat,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,VFCRKLWBYMDAED-REWPJTCUSA-N,1,,2023,1,6,APH1A;APH1B;NCSTN;PSEN1;PSEN2;PSENEN,APH1A;APH1B;NCSTN;PSEN1;PSEN2;PSENEN,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1770916.json,0,CHEMBL1770916,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",same parent structure as: NIROGACESTAT HYDROBROMIDE (CHEMBL4298153)
900140,nonoxynol 9,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,FBWNMEQMRUMQSO-UHFFFAOYSA-N,1,,1982,1,0,,,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL1410.json,0,CHEMBL1410,Small molecule,4.0,chembl_max_phase_4,,
900141,odevixibat,CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)N[C@@H](CC)C(=O)O)c3ccc(O)cc3)cc2S(=O)(=O)N1,XULSCZPZVQIMFM-IPZQJPLYSA-N,1,,2021,1,1,SLC10A2,SLC10A2,dup_parent_inchikey,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4297588.json,0,CHEMBL4297588,Small molecule,4.0,chembl_max_phase_4,chembl_mechanism,same parent structure as: ODEVIXIBAT SESQUIHYDRATE (CHEMBL5315120)
900142,olutasidenib,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,NEQYWYXGTJDAKR-JTQLQIEISA-N,1,,2022,1,1,IDH1,IDH1,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4297610.json,0,CHEMBL4297610,Small molecule,4.0,chembl_max_phase_4,"chembl_mechanism;chembl_pchembl>=6,n>=2",
900143,omaveloxolone,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,RJCWBNBKOKFWNY-IDPLTSGASA-N,1,,2023,1,1,NFE2L2,NFE2L2,,ChEMBL 36 REST API,https://www.ebi.ac.uk/chembl/api/data/molecule/CHEMBL4303525.json,0,CHEMBL4303525,Small molecule,4.0,chembl_max_phase_4,chembl_mechanism,
