struct_id,name,smiles,inchikey,approved,approval_agencies,first_approval,chembl_max_phase4,n_targets,targets,moa_targets,flags
5296,duvelisib,C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,SJVQHLPISAIATJ-ZDUSSCGKSA-N,1,FDA,2018-09-24,1,4,PIK3CA;PIK3CB;PIK3CD;PIK3CG,PIK3CD;PIK3CG,
5297,dacomitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,LVXJQMNHJWSHET-AATRIKPKSA-N,1,EMA;FDA,2018-09-27,1,6,EGFR;ERBB2;ERBB4;JAK3;LCK;SRC,EGFR;ERBB2;ERBB4,
5298,sarecycline,CON(C)Cc1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,PQJQFLNBMSCUSH-SBAJWEJLSA-N,1,FDA,2018-10-01,1,0,,,
5299,omadacycline,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,JEECQCWWSTZDCK-IQZGDKDPSA-N,1,FDA,2018-10-02,1,0,,,
5300,talazoparib tosylate,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,HWGQMRYQVZSGDQ-HZPDHXFCSA-N,1,EMA;FDA,2018-10-16,1,2,PARP1;PARP2,PARP1;PARP2,
5301,baloxavir marboxil,COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,RZVPBGBYGMDSBG-GGAORHGYSA-N,1,EMA;FDA;PMDA,2018-02-23,1,0,,,
5302,lorlatinib,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,IIXWYSCJSQVBQM-LLVKDONJSA-N,1,EMA;FDA;PMDA,2018-09-21,1,12,ALK;FER;FES;FRK;LTK;NTRK1;NTRK2;NTRK3;PTK2;PTK2B;ROS1;TNK2,ALK;FER;FES;LTK;NTRK1;NTRK2;NTRK3;PTK2;PTK2B;ROS1;TNK2,
5303,revefenacin,CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,FYDWDCIFZSGNBU-UHFFFAOYSA-N,1,FDA,2018-11-09,1,5,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5,
5304,glasdegib,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,SFNSLLSYNZWZQG-VQIMIIECSA-N,1,FDA,2018-11-21,1,1,SMO,SMO,
5305,larotrectinib,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,NYNZQNWKBKUAII-KBXCAEBGSA-N,1,EMA;FDA,2018-11-26,1,3,NTRK1;NTRK2;NTRK3,NTRK1;NTRK2;NTRK3,
5306,gilteritinib,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,GYQYAJJFPNQOOW-UHFFFAOYSA-N,1,EMA;FDA;PMDA,2018-09-21,1,8,ALK;AXL;FLT3;LTK;MERTK;NTRK1;RET;ROS1,FLT3,
5307,evocalcet,C[C@@H](N[C@H]1CCN(c2ccc(CC(=O)O)cc2)C1)c1cccc2ccccc12,RZNUIYPHQFXBAN-XLIONFOSSA-N,1,PMDA,2017-03-23,0,1,CASR,CASR,
5311,vibegron,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21,DJXRIQMCROIRCZ-XOEOCAAJSA-N,1,FDA;PMDA,2018-09-21,1,1,ADRB3,ADRB3,
5312,omidenepag isopropyl,CC(C)OC(=O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1,VIQCWEGEHRBLAC-UHFFFAOYSA-N,1,PMDA,2018-09-21,1,1,PTGER2,PTGER2,
5324,brexanolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)C3CC[C@]12C,AURFZBICLPNKBZ-ZMFJCIRDSA-N,1,FDA,2019-03-19,1,8,G6PD;GABRA1;GABRA4;GABRA6;GABRB2;GABRB3;GABRD;GABRG2,,
5325,solriamfetol,NC(=O)OC[C@H](N)Cc1ccccc1,UCTRAOBQFUDCSR-SECBINFHSA-N,1,EMA;FDA,2019-03-20,1,3,SLC6A2;SLC6A3;SLC6A4,,
