struct_id,name,smiles,targets,moa_targets
2463,sorivudine,OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,TK2,
2464,sotalol,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,ADRB1;ADRB2;KCNH2,ADRB1;ADRB2;KCNH2
2466,sparfloxacin,C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O,KCNH2,
2469,spiclomazine,ClC1=CC=C2SC3=CC=CC=C3N(CCCN3CCC4(CC3)NC(=O)CS4)C2=C1,BACE1,
2470,spiperone,FC1=CC=C(C=C1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1,ADRA1A;ADRA1B;ADRA1D;DRD1;DRD2;DRD3;DRD4;DRD5;HLA-A;HRH1;HTR1A;HTR1D;HTR1E;HTR1F;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;HTR7;SCN1A;SCN2A;SCN3A;SIGMAR1,DRD2;HTR2A
2474,spirapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(O)=O)SCCS2,ACE,ACE
2475,spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12,AR;CYP2C19;ESR2;NR1I2;NR3C1;NR3C2;PGR;SLC47A1,NR3C2
2477,stanozolol,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC5=C(C[C@]4(C)[C@H]3CC[C@]12C)C=NN5,ADORA3;AR;CYP2C19;CYP2C9;CYP2D6;ESR1,AR
2480,stiripentol,CC(C)(C)C(O)C=CC1=CC=C2OCOC2=C1,CYP1A2;CYP2C19;CYP3A4;SLC6A1,
2484,strychnine,O=C1C[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1C1=CC=CC=C61,CHRM1;CHRM2;CHRM3;CHRM4;GLRA1;SCN1A;SCN2A;SCN3A;TAS2R10;TAS2R46,
2487,succinic acid,OC(=O)CCC(O)=O,EGLN1;SUCNR1,
2489,suxamethonium,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,CHRNA1;CHRNB1;CHRND;CHRNE;CHRNG,CHRNA1;CHRNB1;CHRND;CHRNE;CHRNG
2491,sufentanil,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,OPRD1;OPRK1;OPRM1;SLC22A1,OPRM1
2492,sulbactam,CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,LACTB,
2495,sulconazole,ClC1=CC=C(CS[C@@H](CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,ADORA3;ADRA2A;ADRA2B;ADRA2C;ALPL;CHRM1;CHRM3;CHRM4;CHRM5;CYP1A2;CYP2C19;CYP2C9;CYP2D6;CYP3A4;DRD3;FYN;HTR2A;HTR2B;HTR2C;IDO1;MDH1;NR1H4;SLC6A2;SLC6A3;SLC6A4;TACR2;TBXAS1,
2497,sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,DHFR,
2500,sulfadiazine,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,AURKA;HTR2A;HTR2B;SLC5A7,
2501,sulfadimethoxine,COC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC(OC)=N1,HTR6,
2502,sulfadimidine,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,GLO1,
2504,sulfaethidole,CCC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,AKT1,
2505,sulfaguanidine,NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1,F2;PRSS1;PRSS2;PRSS3,
